id,inventory_name,orig_quantity,available_quantity,registered_date
71,Rocker Switch 2pin Black,74,74,2026-09-13 05:45:49.286787
72,volumetric flask,56,56,2026-09-13 05:45:49.286787
73,Correction Tape,34,34,2026-09-13 05:45:49.286787
74,Strontium Chloride 6 Hydrate AR,23,23,2026-09-13 05:45:49.286787
75,Methylated Spirit Solution 95,32,32,2026-09-13 05:45:49.286787
20,Lithium Chloride,18,18,2026-09-13 05:45:49.286787
77,Potassium Iodide,15,15,2026-09-13 05:45:49.286787
21,Rocker Switch 6pin,56,56,2026-09-13 05:45:49.286787
22,Ruler,45,45,2026-09-13 05:45:49.286787
23,thermometer,38,38,2026-09-13 05:45:49.286787
78,gloves LN,20,20,2026-09-13 05:45:49.286787
24,Solder Wire,24,24,2026-09-13 05:45:49.286787
25,CR2032 battery holder,108,108,2026-09-13 05:45:49.286787
79,petri dishes,44,44,2026-09-13 05:45:49.286787
26,Gas Sensor MQ6,76,76,2026-09-13 05:45:49.286787
27,N20 Mini Micro Metal Gear,65,65,2026-09-13 05:45:49.286787
28,Jumper Wire M M,64,64,2026-09-13 05:45:49.286787
80,glue gun stick,16,16,2026-09-13 05:45:49.286787
93,key ring,21,21,2026-09-13 05:45:49.286787
94,needle,13,13,2026-09-13 05:45:49.286787
95,Motor Shield,135,135,2026-09-13 05:45:49.286787
96,Safety Goggle,78,78,2026-09-13 05:45:49.286787
97,Fabbxible PLA filament,58,58,2026-09-13 05:45:49.286787
37,Glue Gun,15,15,2026-09-13 05:45:49.286787
98,gloves,10,10,2026-09-13 05:45:49.286787
99,LED Blue,153,153,2026-09-13 05:45:49.286787
100,Infrared IR Proximity Sensor module,52,52,2026-09-13 05:45:49.286787
101,electric thermometer,25,25,2026-09-13 05:45:49.286787
102,tongue depressor,37,37,2026-09-13 05:45:49.286787
38,pom pom,23,23,2026-09-13 05:45:49.286787
103,HC SR04 Ultrasonic Sensor,87,87,2026-09-13 05:45:49.286787
39,glass rod,48,48,2026-09-13 05:45:49.286787
40,Cutting Mat,18,18,2026-09-13 05:45:49.286787
41,Arduino Nano,78,78,2026-09-13 05:45:49.286787
42,Node MCU,102,102,2026-09-13 05:45:49.286787
104,ribbon,14,14,2026-09-13 05:45:49.286787
43,Mallet,29,29,2026-09-13 05:45:49.286787
16,universal indicator,26,26,2026-09-13 05:45:49.286787
17,Lilypad Coin Cell Battery Holder,43,43,2026-09-13 05:45:49.286787
18,paper cup,10,10,2026-09-13 05:45:49.286787
19,conical flask 1000 ML,78,78,2026-09-13 05:45:49.286787
81,Spanner,28,28,2026-09-13 05:45:49.286787
29,Screwdriver,53,53,2026-09-13 05:45:49.286787
82,glue stick,45,45,2026-09-13 05:45:49.286787
83,Paper Clip,10,10,2026-09-13 05:45:49.286787
30,RC522 RFID Card Reader,84,84,2026-09-13 05:45:49.286787
31,Light Dependent Resistor LDR,63,63,2026-09-13 05:45:49.286787
84,Eraser,40,40,2026-09-13 05:45:49.286787
85,Permanent Marker,36,36,2026-09-13 05:45:49.286787
1,Arduino Uno,96,96,2026-09-13 02:31:57.215448
87,test tubes,125,125,2026-09-13 05:45:49.286787
32,tracing paper,12,12,2026-09-13 05:45:49.286787
33,liquid glue,49,49,2026-09-13 05:45:49.286787
34,16 2 LCD Display,66,66,2026-09-13 05:45:49.286787
35,pipettes 5ml,189,189,2026-09-13 05:45:49.286787
36,Pendrive,20,20,2026-09-13 05:45:49.286787
88,thread,11,11,2026-09-13 05:45:49.286787
89,Sound Sensor,83,83,2026-09-13 05:45:49.286787
90,popsicle stick,18,18,2026-09-13 05:45:49.286787
91,Stapler,52,52,2026-09-13 05:45:49.286787
92,pipe cleaner,26,26,2026-09-13 05:45:49.286787
44,DHT11 Temperature and humidity,81,81,2026-09-13 05:45:49.286787
45,Plier,47,47,2026-09-13 05:45:49.286787
46,balloons,16,16,2026-09-13 05:45:49.286787
47,bunsen burner,10,10,2026-09-13 05:45:49.286787
48,Binder Clip,112,112,2026-09-13 05:45:49.286787
49,Resistor 220,52,52,2026-09-13 05:45:49.286787
50,syringes 10ml,115,115,2026-09-13 05:45:49.286787
51,yarn,14,14,2026-09-13 05:45:49.286787
52,Solder Pen,67,67,2026-09-13 05:45:49.286787
53,test tubes rack,65,65,2026-09-13 05:45:49.286787
59,Pen,42,42,2026-09-13 05:45:49.286787
62,Measuring Tape,26,26,2026-09-13 05:45:49.286787
64,acrylic standee A4 landscape portrait,86,86,2026-09-13 05:45:49.286787
65,acrylic table label,69,69,2026-09-13 05:45:49.286787
66,Screw Phillips,47,47,2026-09-13 05:45:49.286787
67,Scissor,82,82,2026-09-13 05:45:49.286787
68,Breadboard,112,112,2026-09-13 05:45:49.286787
69,Micro bit,148,148,2026-09-13 05:45:49.286787
70,LED Red,174,174,2026-09-13 05:45:49.286787
76,Caliper,14,14,2026-09-13 05:45:49.286787
54,Hydrogen Peroxide Solution 6,29,29,2026-09-13 05:45:49.286787
55,clothespin,48,48,2026-09-13 05:45:49.286787
56,Maker Line Sensor,72,72,2026-09-13 05:45:49.286787
57,Hammer,32,32,2026-09-13 05:45:49.286787
58,MAX30102 Heart Rate and Pulse Oximetry Sensor,51,51,2026-09-13 05:45:49.286787
60,HC SR501 PIR Motion Sensor,123,123,2026-09-13 05:45:49.286787
61,conical flask 5000ml,59,59,2026-09-13 05:45:49.286787
63,googly eyes,30,30,2026-09-13 05:45:49.286787
122,syringes 60ml,98,98,2026-09-13 05:45:49.286787
123,beakers 250ml,55,55,2026-09-13 05:45:49.286787
124,pipettes 10ml,146,146,2026-09-13 05:45:49.286787
105,Jumper Wire M F,71,71,2026-09-13 05:45:49.286787
106,N20 Micro Metal Gear Motor,62,62,2026-09-13 05:45:49.286787
107,Sellotape,78,78,2026-09-13 05:45:49.286787
108,Sticky Note,15,15,2026-09-13 05:45:49.286787
109,Cutter,62,62,2026-09-13 05:45:49.286787
110,Tack It,26,26,2026-09-13 05:45:49.286787
111,DC Motor 3 V,88,88,2026-09-13 05:45:49.286787
112,beakers 1000ml,35,35,2026-09-13 05:45:49.286787
113,Paper,15,15,2026-09-13 05:45:49.286787
