class,support,true_positive,false_positive,false_negative,precision,recall,f1
16 2 lcd display,18,14,1,4,0.9333333333333333,0.7777777777777778,0.8484848484848485
a4 colored paper,9,9,1,0,0.9,1.0,0.9473684210526316
acrylic standee a4 landscape portrait,8,5,2,3,0.7142857142857143,0.625,0.6666666666666666
acrylic table label,6,2,2,4,0.5,0.3333333333333333,0.4
air clay,7,6,0,1,1.0,0.8571428571428571,0.923076923076923
arduino nano,29,18,8,11,0.6923076923076923,0.6206896551724138,0.6545454545454545
arduino uno,33,22,10,11,0.6875,0.6666666666666666,0.676923076923077
balloons,10,10,1,0,0.9090909090909091,1.0,0.9523809523809523
beakers 1000ml,9,5,3,4,0.625,0.5555555555555556,0.5882352941176471
beakers 250ml,18,15,3,3,0.8333333333333334,0.8333333333333334,0.8333333333333334
binder clip,31,26,2,5,0.9285714285714286,0.8387096774193549,0.8813559322033899
breadboard,66,39,5,27,0.8863636363636364,0.5909090909090909,0.7090909090909092
bunsen burner,7,6,0,1,1.0,0.8571428571428571,0.923076923076923
caliper,7,7,0,0,1.0,1.0,1.0
clip board,6,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
clothespin,13,13,1,0,0.9285714285714286,1.0,0.962962962962963
conical flask 1000 ml,12,10,2,2,0.8333333333333334,0.8333333333333334,0.8333333333333334
conical flask 5000ml,6,3,0,3,1.0,0.5,0.6666666666666666
copper ii chloride 2 hydrate,7,6,0,1,1.0,0.8571428571428571,0.923076923076923
correction tape,16,14,2,2,0.875,0.875,0.875
cr2032 battery holder,6,5,0,1,1.0,0.8333333333333334,0.9090909090909091
cutter,16,16,1,0,0.9411764705882353,1.0,0.9696969696969697
cutting mat,6,6,0,0,1.0,1.0,1.0
dc motor 3 v,6,6,1,0,0.8571428571428571,1.0,0.923076923076923
dht11 temperature and humidity,8,8,9,0,0.47058823529411764,1.0,0.6399999999999999
electric thermometer,10,8,1,2,0.8888888888888888,0.8,0.8421052631578948
eraser,11,9,0,2,1.0,0.8181818181818182,0.9
fabbxible pla filament,19,15,0,4,1.0,0.7894736842105263,0.8823529411764706
gas sensor mq6,18,18,4,0,0.8181818181818182,1.0,0.9
glass rod,8,4,20,4,0.16666666666666666,0.5,0.25
gloves,11,11,0,0,1.0,1.0,1.0
gloves ln,6,6,0,0,1.0,1.0,1.0
glue gun,11,11,0,0,1.0,1.0,1.0
glue gun stick,12,7,4,5,0.6363636363636364,0.5833333333333334,0.6086956521739131
glue stick,11,8,1,3,0.8888888888888888,0.7272727272727273,0.7999999999999999
googly eyes,7,5,2,2,0.7142857142857143,0.7142857142857143,0.7142857142857143
hammer,7,6,2,1,0.75,0.8571428571428571,0.7999999999999999
hc sr04 ultrasonic sensor,22,21,6,1,0.7777777777777778,0.9545454545454546,0.8571428571428572
hc sr501 pir motion sensor,5,5,0,0,1.0,1.0,1.0
hydrogen peroxide solution 6,14,12,0,2,1.0,0.8571428571428571,0.923076923076923
infrared ir proximity sensor module,55,40,5,15,0.8888888888888888,0.7272727272727273,0.7999999999999999
jumper wire m f,20,13,18,7,0.41935483870967744,0.65,0.5098039215686274
jumper wire m m,33,13,7,20,0.65,0.3939393939393939,0.490566037735849
key ring,13,13,0,0,1.0,1.0,1.0
led blue,33,27,7,6,0.7941176470588235,0.8181818181818182,0.8059701492537314
led red,8,4,5,4,0.4444444444444444,0.5,0.47058823529411764
light dependent resistor ldr,43,25,7,18,0.78125,0.5813953488372093,0.6666666666666666
lilypad coin cell battery holder,16,15,0,1,1.0,0.9375,0.967741935483871
liquid glue,8,7,0,1,1.0,0.875,0.9333333333333333
lithium chloride,6,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
maker line sensor,24,18,5,6,0.782608695652174,0.75,0.7659574468085107
mallet,7,6,1,1,0.8571428571428571,0.8571428571428571,0.8571428571428571
max30102 heart rate and pulse oximetry sensor,22,22,3,0,0.88,1.0,0.9361702127659575
measuring tape,16,11,0,5,1.0,0.6875,0.8148148148148148
melty beads,6,6,0,0,1.0,1.0,1.0
methylated spirit solution 95,7,4,0,3,1.0,0.5714285714285714,0.7272727272727273
micro bit,15,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931
motor shield,8,6,9,2,0.4,0.75,0.5217391304347827
n20 micro metal gear motor,2,1,2,1,0.3333333333333333,0.5,0.4
n20 mini micro metal gear,23,20,11,3,0.6451612903225806,0.8695652173913043,0.7407407407407407
needle,13,8,7,5,0.5333333333333333,0.6153846153846154,0.5714285714285715
node mcu,22,18,1,4,0.9473684210526315,0.8181818181818182,0.8780487804878049
paper,7,4,1,3,0.8,0.5714285714285714,0.6666666666666666
paper clip,41,35,3,6,0.9210526315789473,0.8536585365853658,0.8860759493670887
paper cup,10,10,2,0,0.8333333333333334,1.0,0.9090909090909091
pen,59,27,8,32,0.7714285714285715,0.4576271186440678,0.574468085106383
pendrive,6,5,0,1,1.0,0.8333333333333334,0.9090909090909091
permanent marker,33,22,12,11,0.6470588235294118,0.6666666666666666,0.6567164179104478
petri dishes,7,6,1,1,0.8571428571428571,0.8571428571428571,0.8571428571428571
pipe cleaner,19,17,1,2,0.9444444444444444,0.8947368421052632,0.918918918918919
pipettes 10ml,13,9,6,4,0.6,0.6923076923076923,0.6428571428571429
pipettes 5ml,9,7,6,2,0.5384615384615384,0.7777777777777778,0.6363636363636364
plier,6,6,1,0,0.8571428571428571,1.0,0.923076923076923
pom pom,14,14,0,0,1.0,1.0,1.0
popsicle stick,11,10,1,1,0.9090909090909091,0.9090909090909091,0.9090909090909091
potassium iodide,7,5,0,2,1.0,0.7142857142857143,0.8333333333333333
rc522 rfid card reader,17,11,0,6,1.0,0.6470588235294118,0.7857142857142858
resistor 220,89,88,8,1,0.9166666666666666,0.9887640449438202,0.9513513513513513
ribbon,8,6,0,2,1.0,0.75,0.8571428571428571
rocker switch 2pin black,47,38,4,9,0.9047619047619048,0.8085106382978723,0.853932584269663
rocker switch 6pin,17,13,11,4,0.5416666666666666,0.7647058823529411,0.6341463414634146
ruler,18,13,0,5,1.0,0.7222222222222222,0.8387096774193548
safety goggle,12,11,1,1,0.9166666666666666,0.9166666666666666,0.9166666666666666
scissor,17,16,0,1,1.0,0.9411764705882353,0.9696969696969697
screw phillips,8,6,7,2,0.46153846153846156,0.75,0.5714285714285714
screwdriver,17,9,1,8,0.9,0.5294117647058824,0.6666666666666667
sellotape,31,25,3,6,0.8928571428571429,0.8064516129032258,0.8474576271186439
smoke absorber,6,6,1,0,0.8571428571428571,1.0,0.923076923076923
soil moisture level sensor,16,14,14,2,0.5,0.875,0.6363636363636364
solder pen,6,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
solder wire,6,6,0,0,1.0,1.0,1.0
sound sensor,11,10,0,1,1.0,0.9090909090909091,0.9523809523809523
spanner,17,11,1,6,0.9166666666666666,0.6470588235294118,0.7586206896551724
stapler,12,10,5,2,0.6666666666666666,0.8333333333333334,0.7407407407407408
sticky note,11,9,1,2,0.9,0.8181818181818182,0.8571428571428572
strontium chloride 6 hydrate ar,7,5,4,2,0.5555555555555556,0.7142857142857143,0.6250000000000001
syringes 10ml,11,8,7,3,0.5333333333333333,0.7272727272727273,0.6153846153846153
syringes 60ml,7,5,4,2,0.5555555555555556,0.7142857142857143,0.6250000000000001
tack it,13,10,0,3,1.0,0.7692307692307693,0.8695652173913044
test tubes,9,3,0,6,1.0,0.3333333333333333,0.5
test tubes rack,12,11,0,1,1.0,0.9166666666666666,0.9565217391304348
thermometer,7,5,1,2,0.8333333333333334,0.7142857142857143,0.7692307692307692
thread,21,21,0,0,1.0,1.0,1.0
tongue depressor,8,7,2,1,0.7777777777777778,0.875,0.823529411764706
tracing paper,8,6,4,2,0.6,0.75,0.6666666666666665
universal indicator,9,7,0,2,1.0,0.7777777777777778,0.8750000000000001
volumetric flask,7,7,0,0,1.0,1.0,1.0
whiteboard marker,35,22,7,13,0.7586206896551724,0.6285714285714286,0.6875
yarn,18,18,0,0,1.0,1.0,1.0
