class,support,true_positive,false_positive,false_negative,precision,recall,f1
16 2 lcd display,18,16,0,2,1.0,0.8888888888888888,0.9411764705882353
a4 colored paper,9,9,0,0,1.0,1.0,1.0
acrylic standee a4 landscape portrait,8,4,1,4,0.8,0.5,0.6153846153846154
acrylic table label,6,5,2,1,0.7142857142857143,0.8333333333333334,0.7692307692307692
air clay,7,6,0,1,1.0,0.8571428571428571,0.923076923076923
arduino nano,29,27,4,2,0.8709677419354839,0.9310344827586207,0.9
arduino uno,33,27,33,6,0.45,0.8181818181818182,0.5806451612903226
balloons,10,10,0,0,1.0,1.0,1.0
beakers 1000ml,9,4,0,5,1.0,0.4444444444444444,0.6153846153846153
beakers 250ml,18,18,9,0,0.6666666666666666,1.0,0.8
binder clip,31,29,2,2,0.9354838709677419,0.9354838709677419,0.9354838709677419
breadboard,66,36,4,30,0.9,0.5454545454545454,0.679245283018868
bunsen burner,7,7,0,0,1.0,1.0,1.0
caliper,7,7,0,0,1.0,1.0,1.0
clip board,6,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
clothespin,13,12,0,1,1.0,0.9230769230769231,0.9600000000000001
conical flask 1000 ml,12,10,3,2,0.7692307692307693,0.8333333333333334,0.8
conical flask 5000ml,6,2,0,4,1.0,0.3333333333333333,0.5
copper ii chloride 2 hydrate,7,7,3,0,0.7,1.0,0.8235294117647058
correction tape,16,13,0,3,1.0,0.8125,0.896551724137931
cr2032 battery holder,6,4,0,2,1.0,0.6666666666666666,0.8
cutter,16,16,0,0,1.0,1.0,1.0
cutting mat,6,6,0,0,1.0,1.0,1.0
dc motor 3 v,6,6,3,0,0.6666666666666666,1.0,0.8
dht11 temperature and humidity,8,8,9,0,0.47058823529411764,1.0,0.6399999999999999
electric thermometer,10,8,0,2,1.0,0.8,0.888888888888889
eraser,11,11,0,0,1.0,1.0,1.0
fabbxible pla filament,19,14,1,5,0.9333333333333333,0.7368421052631579,0.8235294117647058
gas sensor mq6,18,17,1,1,0.9444444444444444,0.9444444444444444,0.9444444444444444
glass rod,8,4,9,4,0.3076923076923077,0.5,0.380952380952381
gloves,11,11,0,0,1.0,1.0,1.0
gloves ln,6,6,0,0,1.0,1.0,1.0
glue gun,11,11,0,0,1.0,1.0,1.0
glue gun stick,12,9,4,3,0.6923076923076923,0.75,0.7199999999999999
glue stick,11,9,0,2,1.0,0.8181818181818182,0.9
googly eyes,7,6,0,1,1.0,0.8571428571428571,0.923076923076923
hammer,7,7,0,0,1.0,1.0,1.0
hc sr04 ultrasonic sensor,22,21,4,1,0.84,0.9545454545454546,0.8936170212765958
hc sr501 pir motion sensor,5,5,0,0,1.0,1.0,1.0
hydrogen peroxide solution 6,14,13,2,1,0.8666666666666667,0.9285714285714286,0.896551724137931
infrared ir proximity sensor module,55,45,3,10,0.9375,0.8181818181818182,0.8737864077669902
jumper wire m f,20,8,6,12,0.5714285714285714,0.4,0.47058823529411764
jumper wire m m,33,26,12,7,0.6842105263157895,0.7878787878787878,0.732394366197183
key ring,13,13,0,0,1.0,1.0,1.0
led blue,33,31,8,2,0.7948717948717948,0.9393939393939394,0.8611111111111112
led red,8,4,1,4,0.8,0.5,0.6153846153846154
light dependent resistor ldr,43,27,5,16,0.84375,0.627906976744186,0.72
lilypad coin cell battery holder,16,15,0,1,1.0,0.9375,0.967741935483871
liquid glue,8,8,0,0,1.0,1.0,1.0
lithium chloride,6,5,0,1,1.0,0.8333333333333334,0.9090909090909091
maker line sensor,24,24,1,0,0.96,1.0,0.9795918367346939
mallet,7,7,0,0,1.0,1.0,1.0
max30102 heart rate and pulse oximetry sensor,22,21,1,1,0.9545454545454546,0.9545454545454546,0.9545454545454546
measuring tape,16,16,1,0,0.9411764705882353,1.0,0.9696969696969697
melty beads,6,6,0,0,1.0,1.0,1.0
methylated spirit solution 95,7,5,0,2,1.0,0.7142857142857143,0.8333333333333333
micro bit,15,15,0,0,1.0,1.0,1.0
motor shield,8,6,1,2,0.8571428571428571,0.75,0.7999999999999999
n20 micro metal gear motor,2,0,1,2,0.0,0.0,0.0
n20 mini micro metal gear,23,22,8,1,0.7333333333333333,0.9565217391304348,0.8301886792452831
needle,13,12,7,1,0.631578947368421,0.9230769230769231,0.7499999999999999
node mcu,22,18,0,4,1.0,0.8181818181818182,0.9
paper,7,4,0,3,1.0,0.5714285714285714,0.7272727272727273
paper clip,41,41,2,0,0.9534883720930233,1.0,0.9761904761904763
paper cup,10,10,0,0,1.0,1.0,1.0
pen,59,57,9,2,0.8636363636363636,0.9661016949152542,0.912
pendrive,6,5,0,1,1.0,0.8333333333333334,0.9090909090909091
permanent marker,33,24,8,9,0.75,0.7272727272727273,0.7384615384615384
petri dishes,7,6,0,1,1.0,0.8571428571428571,0.923076923076923
pipe cleaner,19,19,0,0,1.0,1.0,1.0
pipettes 10ml,13,7,2,6,0.7777777777777778,0.5384615384615384,0.6363636363636364
pipettes 5ml,9,8,4,1,0.6666666666666666,0.8888888888888888,0.761904761904762
plier,6,5,0,1,1.0,0.8333333333333334,0.9090909090909091
pom pom,14,14,0,0,1.0,1.0,1.0
popsicle stick,11,10,0,1,1.0,0.9090909090909091,0.9523809523809523
potassium iodide,7,6,0,1,1.0,0.8571428571428571,0.923076923076923
rc522 rfid card reader,17,13,0,4,1.0,0.7647058823529411,0.8666666666666666
resistor 220,89,89,6,0,0.9368421052631579,1.0,0.967391304347826
ribbon,8,7,0,1,1.0,0.875,0.9333333333333333
rocker switch 2pin black,47,47,12,0,0.7966101694915254,1.0,0.8867924528301886
rocker switch 6pin,17,11,0,6,1.0,0.6470588235294118,0.7857142857142858
ruler,18,17,0,1,1.0,0.9444444444444444,0.9714285714285714
safety goggle,12,12,0,0,1.0,1.0,1.0
scissor,17,17,0,0,1.0,1.0,1.0
screw phillips,8,6,0,2,1.0,0.75,0.8571428571428571
screwdriver,17,17,2,0,0.8947368421052632,1.0,0.9444444444444444
sellotape,31,29,5,2,0.8529411764705882,0.9354838709677419,0.8923076923076922
smoke absorber,6,6,0,0,1.0,1.0,1.0
soil moisture level sensor,16,14,3,2,0.8235294117647058,0.875,0.8484848484848485
solder pen,6,4,0,2,1.0,0.6666666666666666,0.8
solder wire,6,6,0,0,1.0,1.0,1.0
sound sensor,11,10,0,1,1.0,0.9090909090909091,0.9523809523809523
spanner,17,16,0,1,1.0,0.9411764705882353,0.9696969696969697
stapler,12,10,0,2,1.0,0.8333333333333334,0.9090909090909091
sticky note,11,11,0,0,1.0,1.0,1.0
strontium chloride 6 hydrate ar,7,6,0,1,1.0,0.8571428571428571,0.923076923076923
syringes 10ml,11,10,1,1,0.9090909090909091,0.9090909090909091,0.9090909090909091
syringes 60ml,7,6,2,1,0.75,0.8571428571428571,0.7999999999999999
tack it,13,13,0,0,1.0,1.0,1.0
test tubes,9,5,0,4,1.0,0.5555555555555556,0.7142857142857143
test tubes rack,12,12,0,0,1.0,1.0,1.0
thermometer,7,4,1,3,0.8,0.5714285714285714,0.6666666666666666
thread,21,21,0,0,1.0,1.0,1.0
tongue depressor,8,8,0,0,1.0,1.0,1.0
tracing paper,8,8,2,0,0.8,1.0,0.888888888888889
universal indicator,9,9,0,0,1.0,1.0,1.0
volumetric flask,7,6,0,1,1.0,0.8571428571428571,0.923076923076923
whiteboard marker,35,32,6,3,0.8421052631578947,0.9142857142857143,0.8767123287671234
yarn,18,18,0,0,1.0,1.0,1.0
