class,support,true_positive,false_positive,false_negative,precision,recall,f1
16 2 lcd display,18,16,0,2,1.0,0.8888888888888888,0.9411764705882353
a4 colored paper,9,8,0,1,1.0,0.8888888888888888,0.9411764705882353
acrylic standee a4 landscape portrait,8,4,1,4,0.8,0.5,0.6153846153846154
acrylic table label,6,4,2,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
air clay,7,7,0,0,1.0,1.0,1.0
arduino nano,29,27,5,2,0.84375,0.9310344827586207,0.8852459016393444
arduino uno,33,27,33,6,0.45,0.8181818181818182,0.5806451612903226
balloons,10,10,0,0,1.0,1.0,1.0
beakers 1000ml,9,4,0,5,1.0,0.4444444444444444,0.6153846153846153
beakers 250ml,18,18,10,0,0.6428571428571429,1.0,0.782608695652174
binder clip,31,28,1,3,0.9655172413793104,0.9032258064516129,0.9333333333333333
breadboard,66,36,3,30,0.9230769230769231,0.5454545454545454,0.6857142857142856
bunsen burner,7,7,0,0,1.0,1.0,1.0
caliper,7,7,0,0,1.0,1.0,1.0
clip board,6,5,2,1,0.7142857142857143,0.8333333333333334,0.7692307692307692
clothespin,13,13,0,0,1.0,1.0,1.0
conical flask 1000 ml,12,10,3,2,0.7692307692307693,0.8333333333333334,0.8
conical flask 5000ml,6,2,0,4,1.0,0.3333333333333333,0.5
copper ii chloride 2 hydrate,7,6,2,1,0.75,0.8571428571428571,0.7999999999999999
correction tape,16,13,0,3,1.0,0.8125,0.896551724137931
cr2032 battery holder,6,4,0,2,1.0,0.6666666666666666,0.8
cutter,16,16,0,0,1.0,1.0,1.0
cutting mat,6,6,0,0,1.0,1.0,1.0
dc motor 3 v,6,6,1,0,0.8571428571428571,1.0,0.923076923076923
dht11 temperature and humidity,8,8,9,0,0.47058823529411764,1.0,0.6399999999999999
electric thermometer,10,8,0,2,1.0,0.8,0.888888888888889
eraser,11,11,0,0,1.0,1.0,1.0
fabbxible pla filament,19,15,1,4,0.9375,0.7894736842105263,0.8571428571428572
gas sensor mq6,18,16,1,2,0.9411764705882353,0.8888888888888888,0.9142857142857143
glass rod,8,5,8,3,0.38461538461538464,0.625,0.4761904761904762
gloves,11,11,0,0,1.0,1.0,1.0
gloves ln,6,6,0,0,1.0,1.0,1.0
glue gun,11,11,0,0,1.0,1.0,1.0
glue gun stick,12,11,5,1,0.6875,0.9166666666666666,0.7857142857142857
glue stick,11,9,0,2,1.0,0.8181818181818182,0.9
googly eyes,7,6,0,1,1.0,0.8571428571428571,0.923076923076923
hammer,7,7,0,0,1.0,1.0,1.0
hc sr04 ultrasonic sensor,22,21,4,1,0.84,0.9545454545454546,0.8936170212765958
hc sr501 pir motion sensor,5,5,0,0,1.0,1.0,1.0
hydrogen peroxide solution 6,14,12,2,2,0.8571428571428571,0.8571428571428571,0.8571428571428571
infrared ir proximity sensor module,55,44,3,11,0.9361702127659575,0.8,0.8627450980392157
jumper wire m f,20,9,9,11,0.5,0.45,0.4736842105263158
jumper wire m m,33,23,11,10,0.6764705882352942,0.696969696969697,0.6865671641791046
key ring,13,13,0,0,1.0,1.0,1.0
led blue,33,31,12,2,0.7209302325581395,0.9393939393939394,0.8157894736842105
led red,8,4,0,4,1.0,0.5,0.6666666666666666
light dependent resistor ldr,43,27,6,16,0.8181818181818182,0.627906976744186,0.7105263157894738
lilypad coin cell battery holder,16,15,0,1,1.0,0.9375,0.967741935483871
liquid glue,8,8,0,0,1.0,1.0,1.0
lithium chloride,6,5,0,1,1.0,0.8333333333333334,0.9090909090909091
maker line sensor,24,24,1,0,0.96,1.0,0.9795918367346939
mallet,7,7,0,0,1.0,1.0,1.0
max30102 heart rate and pulse oximetry sensor,22,21,1,1,0.9545454545454546,0.9545454545454546,0.9545454545454546
measuring tape,16,16,2,0,0.8888888888888888,1.0,0.9411764705882353
melty beads,6,6,0,0,1.0,1.0,1.0
methylated spirit solution 95,7,5,0,2,1.0,0.7142857142857143,0.8333333333333333
micro bit,15,15,0,0,1.0,1.0,1.0
motor shield,8,6,0,2,1.0,0.75,0.8571428571428571
n20 micro metal gear motor,2,0,1,2,0.0,0.0,0.0
n20 mini micro metal gear,23,22,9,1,0.7096774193548387,0.9565217391304348,0.8148148148148149
needle,13,11,4,2,0.7333333333333333,0.8461538461538461,0.7857142857142856
node mcu,22,18,0,4,1.0,0.8181818181818182,0.9
paper,7,4,0,3,1.0,0.5714285714285714,0.7272727272727273
paper clip,41,41,1,0,0.9761904761904762,1.0,0.9879518072289156
paper cup,10,10,0,0,1.0,1.0,1.0
pen,59,56,8,3,0.875,0.9491525423728814,0.9105691056910569
pendrive,6,5,0,1,1.0,0.8333333333333334,0.9090909090909091
permanent marker,33,23,6,10,0.7931034482758621,0.696969696969697,0.7419354838709677
petri dishes,7,6,0,1,1.0,0.8571428571428571,0.923076923076923
pipe cleaner,19,19,0,0,1.0,1.0,1.0
pipettes 10ml,13,9,1,4,0.9,0.6923076923076923,0.7826086956521738
pipettes 5ml,9,8,3,1,0.7272727272727273,0.8888888888888888,0.7999999999999999
plier,6,5,0,1,1.0,0.8333333333333334,0.9090909090909091
pom pom,14,14,0,0,1.0,1.0,1.0
popsicle stick,11,10,0,1,1.0,0.9090909090909091,0.9523809523809523
potassium iodide,7,5,0,2,1.0,0.7142857142857143,0.8333333333333333
rc522 rfid card reader,17,13,0,4,1.0,0.7647058823529411,0.8666666666666666
resistor 220,89,89,7,0,0.9270833333333334,1.0,0.9621621621621621
ribbon,8,7,0,1,1.0,0.875,0.9333333333333333
rocker switch 2pin black,47,47,10,0,0.8245614035087719,1.0,0.9038461538461539
rocker switch 6pin,17,12,0,5,1.0,0.7058823529411765,0.8275862068965517
ruler,18,17,0,1,1.0,0.9444444444444444,0.9714285714285714
safety goggle,12,12,0,0,1.0,1.0,1.0
scissor,17,17,0,0,1.0,1.0,1.0
screw phillips,8,6,0,2,1.0,0.75,0.8571428571428571
screwdriver,17,17,2,0,0.8947368421052632,1.0,0.9444444444444444
sellotape,31,29,7,2,0.8055555555555556,0.9354838709677419,0.8656716417910448
smoke absorber,6,6,0,0,1.0,1.0,1.0
soil moisture level sensor,16,13,3,3,0.8125,0.8125,0.8125
solder pen,6,4,0,2,1.0,0.6666666666666666,0.8
solder wire,6,6,0,0,1.0,1.0,1.0
sound sensor,11,10,1,1,0.9090909090909091,0.9090909090909091,0.9090909090909091
spanner,17,16,2,1,0.8888888888888888,0.9411764705882353,0.9142857142857143
stapler,12,10,0,2,1.0,0.8333333333333334,0.9090909090909091
sticky note,11,11,0,0,1.0,1.0,1.0
strontium chloride 6 hydrate ar,7,6,3,1,0.6666666666666666,0.8571428571428571,0.75
syringes 10ml,11,10,1,1,0.9090909090909091,0.9090909090909091,0.9090909090909091
syringes 60ml,7,6,2,1,0.75,0.8571428571428571,0.7999999999999999
tack it,13,13,0,0,1.0,1.0,1.0
test tubes,9,5,1,4,0.8333333333333334,0.5555555555555556,0.6666666666666667
test tubes rack,12,12,0,0,1.0,1.0,1.0
thermometer,7,3,0,4,1.0,0.42857142857142855,0.6
thread,21,21,0,0,1.0,1.0,1.0
tongue depressor,8,8,0,0,1.0,1.0,1.0
tracing paper,8,6,2,2,0.75,0.75,0.75
universal indicator,9,9,0,0,1.0,1.0,1.0
volumetric flask,7,6,1,1,0.8571428571428571,0.8571428571428571,0.8571428571428571
whiteboard marker,35,34,8,1,0.8095238095238095,0.9714285714285714,0.8831168831168832
yarn,18,18,0,0,1.0,1.0,1.0
