epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,244.35,1.9509,1.54415,0.58346,2.12598,0,0.00744,0.23428,0.00333,0.00093,0.00516,0.15783,0.00161,0.00043,2.94268,2.03856,86.957,10.3197,0,0.000665272,0.000665272,0.000665272
2,486.162,2.58865,1.94005,0.65659,2.67051,0,0.07038,0.06042,0.01771,0.00473,0.05184,0.05795,0.00991,0.00294,2.57494,1.9937,0.71711,2.66267,0,0.00131875,0.00131875,0.00131875
3,696.051,2.49913,1.90855,0.63848,2.57758,0,0.04447,0.06782,0.01388,0.00368,0.0283,0.04316,0.00572,0.0016,2.7211,1.9249,0.88404,2.86703,0,0.00195903,0.00195903,0.00195903
4,895.754,2.36824,1.89777,0.6242,2.46982,0,0.1433,0.1233,0.05753,0.02277,0.13504,0.09371,0.04504,0.02042,2.26032,1.8368,0.61606,2.45512,0,0.0019406,0.0019406,0.0019406
5,1089.33,2.24865,1.82995,0.59101,2.363,0,0.21656,0.16276,0.1072,0.04362,0.19583,0.13194,0.07822,0.03589,2.30488,1.79535,0.59506,2.48372,0,0.0019208,0.0019208,0.0019208
6,1281.02,2.13077,1.77775,0.55776,2.28103,0,0.27049,0.16893,0.13669,0.06174,0.24285,0.15166,0.10463,0.04971,2.07377,1.6762,0.53578,2.21936,0,0.001901,0.001901,0.001901
7,1468.56,2.02129,1.69924,0.51972,2.15436,0,0.29861,0.21948,0.17727,0.08587,0.28172,0.19605,0.14276,0.07587,1.92378,1.61579,0.50526,2.09051,0,0.0018812,0.0018812,0.0018812
8,1660.13,1.95361,1.6647,0.49853,2.1091,0,0.30298,0.19852,0.18301,0.08968,0.31842,0.17016,0.13596,0.07129,1.87687,1.54641,0.50097,2.0367,0,0.0018614,0.0018614,0.0018614
9,1849.99,1.8687,1.6262,0.48404,2.02363,0,0.3521,0.24168,0.21263,0.10712,0.33776,0.19482,0.16704,0.08693,1.77256,1.54574,0.46565,1.96871,0,0.0018416,0.0018416,0.0018416
10,2040.73,1.80724,1.56716,0.47074,1.98273,0,0.33121,0.24661,0.20995,0.11194,0.35542,0.20715,0.16564,0.09044,1.77022,1.52828,0.47047,1.94164,0,0.0018218,0.0018218,0.0018218
11,2237.51,1.73968,1.54356,0.45888,1.93424,0,0.37407,0.27413,0.24223,0.13726,0.37322,0.23428,0.18604,0.10419,1.64311,1.44082,0.43696,1.85691,0,0.001802,0.001802,0.001802
12,2436.59,1.70851,1.55316,0.44455,1.90867,0,0.38338,0.27127,0.25164,0.1371,0.35143,0.22441,0.19353,0.11185,1.69376,1.4495,0.45395,1.88178,0,0.0017822,0.0017822,0.0017822
13,2632.93,1.65466,1.47935,0.43759,1.85589,0,0.37149,0.25647,0.24122,0.13636,0.34542,0.23305,0.19865,0.11615,1.64292,1.49592,0.44071,1.88515,0,0.0017624,0.0017624,0.0017624
14,2826.02,1.62413,1.497,0.4297,1.83644,0,0.41436,0.2762,0.2542,0.13636,0.37679,0.24784,0.20158,0.10517,1.62202,1.51314,0.43354,1.84743,0,0.0017426,0.0017426,0.0017426
15,3014.94,1.57602,1.44506,0.42227,1.79539,0,0.4158,0.31566,0.29264,0.17464,0.43462,0.27374,0.23905,0.13925,1.49939,1.35901,0.39826,1.73316,0,0.0017228,0.0017228,0.0017228
16,3206.23,1.53052,1.43807,0.41191,1.75805,0,0.39745,0.31231,0.29683,0.1757,0.39588,0.25894,0.22667,0.12765,1.53233,1.46901,0.42441,1.76341,0,0.001703,0.001703,0.001703
17,3395.13,1.50122,1.43029,0.40315,1.73472,0,0.45727,0.32059,0.33246,0.20119,0.43244,0.26387,0.2583,0.14854,1.42932,1.34414,0.39468,1.67628,0,0.0016832,0.0016832,0.0016832
18,3581.55,1.48159,1.39646,0.39572,1.70629,0,0.4387,0.33292,0.31845,0.19231,0.43529,0.28607,0.25696,0.15599,1.44668,1.30776,0.40107,1.66228,0,0.0016634,0.0016634,0.0016634
19,3773.73,1.44612,1.35691,0.3922,1.69098,0,0.48311,0.28853,0.30825,0.1844,0.45639,0.24908,0.24591,0.14138,1.44417,1.32514,0.39459,1.67073,0,0.0016436,0.0016436,0.0016436
20,3961.12,1.42232,1.32012,0.38446,1.66062,0,0.507,0.30053,0.32414,0.19377,0.48231,0.2725,0.26556,0.15826,1.43286,1.28626,0.377,1.68751,0,0.0016238,0.0016238,0.0016238
21,4153.08,1.37393,1.32289,0.3715,1.61819,0,0.51942,0.31936,0.35311,0.21285,0.46496,0.28237,0.27715,0.16561,1.40085,1.27881,0.37636,1.64095,0,0.001604,0.001604,0.001604
22,4345.39,1.35086,1.27116,0.36391,1.59748,0,0.49956,0.37361,0.39816,0.25242,0.48933,0.30949,0.32411,0.19666,1.33116,1.22974,0.36003,1.58223,0,0.0015842,0.0015842,0.0015842
23,4536.7,1.34096,1.28565,0.36906,1.58554,0,0.46325,0.32552,0.34183,0.21616,0.46206,0.30826,0.30417,0.18112,1.31159,1.23979,0.37913,1.59064,0,0.0015644,0.0015644,0.0015644
24,4725.97,1.29326,1.28403,0.35893,1.54086,0,0.51484,0.35388,0.37279,0.23204,0.46609,0.30949,0.29961,0.18391,1.31229,1.22659,0.36444,1.58336,0,0.0015446,0.0015446,0.0015446
25,4914.79,1.27486,1.25656,0.34651,1.53689,0,0.50027,0.34772,0.38716,0.25153,0.47621,0.30949,0.32486,0.20227,1.24781,1.15613,0.34683,1.51174,0,0.0015248,0.0015248,0.0015248
26,5108.65,1.2845,1.2535,0.34654,1.54639,0,0.49513,0.36252,0.3834,0.24575,0.48956,0.29223,0.30753,0.19607,1.29245,1.218,0.35046,1.54723,0,0.001505,0.001505,0.001505
27,5297.15,1.24039,1.23417,0.3424,1.50672,0,0.50622,0.38594,0.40675,0.26411,0.50043,0.34525,0.35293,0.21019,1.2192,1.19224,0.33893,1.49753,0,0.0014852,0.0014852,0.0014852
28,5490.87,1.22176,1.2154,0.33695,1.49846,0,0.52036,0.35882,0.37959,0.2438,0.53123,0.30949,0.32395,0.18077,1.27268,1.23145,0.34619,1.54406,0,0.0014654,0.0014654,0.0014654
29,5678.45,1.21459,1.21707,0.33452,1.48363,0,0.49377,0.37115,0.40087,0.26199,0.44728,0.31689,0.31132,0.19796,1.23937,1.18695,0.34791,1.50301,0,0.0014456,0.0014456,0.0014456
30,5873.7,1.20798,1.19485,0.33174,1.47848,0,0.52291,0.3676,0.38714,0.25642,0.50718,0.31689,0.32303,0.20506,1.21628,1.17794,0.34044,1.50264,0,0.0014258,0.0014258,0.0014258
31,6059.56,1.18427,1.17949,0.32514,1.46125,0,0.50494,0.38224,0.39937,0.2621,0.47555,0.34895,0.34162,0.20648,1.22495,1.15954,0.32942,1.50313,0,0.001406,0.001406,0.001406
32,6250.67,1.18527,1.17604,0.31723,1.46058,0,0.51144,0.41176,0.42956,0.29002,0.45595,0.37304,0.36832,0.22703,1.16863,1.16828,0.32894,1.45844,0,0.0013862,0.0013862,0.0013862
33,6441.58,1.16061,1.15275,0.31625,1.44413,0,0.53075,0.40321,0.43743,0.29824,0.51513,0.35018,0.37273,0.23495,1.1382,1.13485,0.31613,1.43912,0,0.0013664,0.0013664,0.0013664
34,6635.84,1.15837,1.16111,0.31336,1.43386,0,0.54005,0.40321,0.43926,0.29617,0.51731,0.35882,0.38054,0.24198,1.14862,1.11312,0.3221,1.43679,0,0.0013466,0.0013466,0.0013466
35,6830.33,1.10926,1.13129,0.30815,1.40113,0,0.5351,0.40307,0.42808,0.2916,0.48925,0.36621,0.36724,0.22305,1.11751,1.15623,0.3196,1.42781,0,0.0013268,0.0013268,0.0013268
36,7027.13,1.09884,1.12444,0.30227,1.39652,0,0.58085,0.39827,0.456,0.30486,0.54429,0.35388,0.3898,0.23973,1.13315,1.1057,0.30985,1.40488,0,0.001307,0.001307,0.001307
37,7224.79,1.06938,1.0893,0.29334,1.36163,0,0.48792,0.43896,0.45499,0.30934,0.48699,0.37361,0.3917,0.25859,1.12219,1.09294,0.30723,1.42828,0,0.0012872,0.0012872,0.0012872
38,7422.39,1.06892,1.10414,0.29133,1.36168,0,0.53247,0.43157,0.45375,0.31186,0.49405,0.38841,0.39271,0.24789,1.09911,1.069,0.30607,1.40735,0,0.0012674,0.0012674,0.0012674
39,7613.42,1.05849,1.08309,0.28719,1.36288,0,0.54902,0.4365,0.47226,0.33096,0.52929,0.39334,0.41335,0.2588,1.06392,1.05421,0.29989,1.37537,0,0.0012476,0.0012476,0.0012476
40,7800.46,1.02189,1.07722,0.28163,1.32475,0,0.5764,0.42663,0.47545,0.33549,0.54436,0.37855,0.40814,0.26447,1.06553,1.07014,0.28905,1.38045,0,0.0012278,0.0012278,0.0012278
41,7985.05,1.01188,1.05805,0.28147,1.32314,0,0.56404,0.4328,0.46492,0.32376,0.53767,0.38348,0.39928,0.25827,1.09002,1.08667,0.30568,1.38065,0,0.001208,0.001208,0.001208
42,8172.14,1.04353,1.06131,0.2885,1.33638,0,0.49641,0.46486,0.4628,0.31925,0.49758,0.38955,0.39363,0.25563,1.09789,1.07444,0.30221,1.40059,0,0.0011882,0.0011882,0.0011882
43,8363.28,1.02668,1.06425,0.28124,1.33301,0,0.62416,0.39211,0.47365,0.33538,0.59836,0.35635,0.39937,0.25761,1.05755,1.0514,0.27693,1.38649,0,0.0011684,0.0011684,0.0011684
44,8554.39,0.97015,1.03915,0.26827,1.29022,0,0.57133,0.43033,0.47712,0.32854,0.54883,0.39457,0.41666,0.26258,1.06538,1.06449,0.28933,1.37464,0,0.0011486,0.0011486,0.0011486
45,8744.01,0.96907,1.03216,0.26924,1.28691,0,0.57055,0.42756,0.47131,0.33743,0.53006,0.39581,0.40964,0.26618,1.02575,1.0398,0.28632,1.35069,0,0.0011288,0.0011288,0.0011288
46,8940.11,0.96838,1.02357,0.27111,1.29442,0,0.5235,0.45746,0.48145,0.34799,0.51024,0.40937,0.40289,0.26879,1.00114,1.02439,0.28326,1.32721,0,0.001109,0.001109,0.001109
47,9129.68,0.96634,1.02295,0.26861,1.27439,0,0.57607,0.46486,0.50036,0.35354,0.50892,0.41554,0.41379,0.27517,1.05561,1.00741,0.27572,1.36838,0,0.0010892,0.0010892,0.0010892
48,9317.08,0.93812,0.98863,0.25656,1.26265,0,0.61433,0.43014,0.49,0.34159,0.56626,0.39601,0.42694,0.28002,1.03679,1.02833,0.28293,1.35758,0,0.0010694,0.0010694,0.0010694
49,9505.26,0.94785,0.99747,0.25935,1.26393,0,0.57518,0.47349,0.52379,0.37695,0.62554,0.39704,0.45511,0.29468,0.98759,0.98757,0.26672,1.30463,0,0.0010496,0.0010496,0.0010496
50,9701.73,0.91213,0.99243,0.25071,1.24689,0,0.59071,0.46609,0.50403,0.36857,0.55963,0.41677,0.43505,0.2908,0.9865,0.97184,0.26439,1.31512,0,0.0010298,0.0010298,0.0010298
51,9889.58,0.89974,0.95088,0.24234,1.23156,0,0.60044,0.46363,0.52638,0.37754,0.56015,0.42787,0.45258,0.30194,0.97872,0.97956,0.26056,1.30704,0,0.00101,0.00101,0.00101
52,10079.6,0.9023,0.93963,0.24441,1.22527,0,0.60836,0.45129,0.50868,0.36628,0.56083,0.40937,0.4357,0.28824,0.97382,0.99657,0.26353,1.29948,0,0.0009902,0.0009902,0.0009902
53,10276.3,0.87764,0.9464,0.23233,1.21226,0,0.60158,0.48952,0.5242,0.38583,0.58755,0.43033,0.45065,0.30226,0.93862,0.96807,0.25723,1.26926,0,0.0009704,0.0009704,0.0009704
54,10464,0.85721,0.94,0.2365,1.19949,0,0.60787,0.45683,0.50514,0.36666,0.55186,0.41302,0.42211,0.28061,0.957,1.00388,0.26474,1.28872,0,0.0009506,0.0009506,0.0009506
55,10654.2,0.86522,0.94382,0.23626,1.20542,0,0.57709,0.49469,0.53788,0.39456,0.54641,0.45746,0.47369,0.31332,0.9492,0.9745,0.25196,1.27469,0,0.0009308,0.0009308,0.0009308
56,10842.8,0.86135,0.93241,0.23397,1.20352,0,0.58238,0.48335,0.52028,0.38169,0.55253,0.4365,0.45007,0.3042,0.96885,0.98978,0.26688,1.30334,0,0.000911,0.000911,0.000911
57,11035.8,0.86963,0.95259,0.23225,1.20693,0,0.62327,0.51665,0.55944,0.41198,0.57082,0.47349,0.48879,0.32506,0.94176,0.96849,0.24024,1.29189,0,0.0008912,0.0008912,0.0008912
