epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,230.659,1.66135,2.46118,2.07395,1.87294,0,0.09423,0.16646,0.05164,0.01779,0.08288,0.15166,0.04063,0.01678,2.37204,4.13869,3.18256,2.84149,0,0.000665272,0.000665272,0.000665272
2,432.777,2.15902,3.00405,2.30729,2.27164,0,0.16038,0.15687,0.07361,0.02822,0.14931,0.14797,0.06721,0.02791,2.25408,3.21921,3.89273,2.51398,0,0.00133186,0.00133186,0.00133186
3,634.795,2.03514,2.92704,2.22775,2.20062,0,0.2031,0.20099,0.13092,0.05784,0.1916,0.18742,0.10358,0.04997,2.0362,2.89754,2.25105,2.23466,0,0.00199812,0.00199812,0.00199812
4,851.321,1.8933,2.89298,2.12494,2.0731,0,0.33906,0.23428,0.19072,0.09338,0.3341,0.21948,0.16489,0.08901,1.77872,2.78795,2.40121,2.02313,0,0.0019989,0.0019989,0.0019989
5,1052.76,1.75092,2.68711,1.98332,1.94184,0,0.35082,0.24661,0.22221,0.12552,0.34213,0.24414,0.19243,0.11555,1.65392,2.6646,2.22756,1.95252,0,0.00199805,0.00199805,0.00199805
6,1253.2,1.6613,2.565,1.89755,1.87571,0,0.27891,0.25563,0.20703,0.11079,0.33278,0.19605,0.17199,0.0993,1.71871,2.83153,2.0142,1.98142,0,0.00199695,0.00199695,0.00199695
7,1446.55,1.56525,2.53515,1.79718,1.80193,0,0.33252,0.25771,0.22098,0.11989,0.28225,0.21702,0.16572,0.09974,1.64916,2.55293,1.94943,1.95347,0,0.00199561,0.00199561,0.00199561
8,1643.31,1.52491,2.38163,1.77185,1.75697,0,0.41516,0.30373,0.29511,0.17033,0.3891,0.27744,0.25316,0.15274,1.47539,2.17723,1.69456,1.71336,0,0.00199402,0.00199402,0.00199402
9,1838.6,1.461,2.32869,1.6875,1.70839,0,0.41561,0.34895,0.34428,0.21527,0.50993,0.25771,0.28546,0.18747,1.36281,2.16324,1.60563,1.65352,0,0.00199219,0.00199219,0.00199219
10,2039.15,1.42798,2.31274,1.62612,1.65187,0,0.49196,0.33292,0.35659,0.22297,0.46279,0.2725,0.29123,0.20065,1.31458,2.1355,1.45024,1.58908,0,0.00199012,0.00199012,0.00199012
11,2231.03,1.37237,2.21006,1.55466,1.62011,0,0.46677,0.37978,0.38219,0.24134,0.45822,0.32306,0.33741,0.21932,1.29693,2.06317,1.49131,1.57599,0,0.00198781,0.00198781,0.00198781
12,2425.45,1.33349,2.17985,1.55703,1.59155,0,0.45619,0.39581,0.38566,0.24841,0.475,0.33662,0.34282,0.22258,1.31647,2.09881,1.59117,1.58768,0,0.00198526,0.00198526,0.00198526
13,2631.4,1.30786,2.13214,1.505,1.57578,0,0.53134,0.43617,0.45977,0.30053,0.50067,0.38348,0.38971,0.25875,1.23691,1.96812,1.30738,1.53273,0,0.00198246,0.00198246,0.00198246
14,2843.82,1.29386,2.15576,1.47788,1.54645,0,0.48349,0.40074,0.39551,0.25187,0.47628,0.34986,0.33933,0.22577,1.29603,2.09769,1.39794,1.57877,0,0.00197943,0.00197943,0.00197943
15,3042.61,1.26207,2.0346,1.42843,1.52821,0,0.52867,0.38841,0.42988,0.28564,0.47939,0.35882,0.373,0.2462,1.19188,1.95621,1.3686,1.51774,0,0.00197616,0.00197616,0.00197616
16,3241.31,1.25609,2.04644,1.41786,1.53259,0,0.55547,0.45146,0.4804,0.31681,0.49894,0.4106,0.42089,0.28039,1.17222,1.86473,1.21828,1.48121,0,0.00197265,0.00197265,0.00197265
17,3436.95,1.22766,1.97712,1.36642,1.50562,0,0.60132,0.42403,0.4885,0.33908,0.56822,0.39457,0.43525,0.29797,1.10843,1.81175,1.20496,1.40788,0,0.0019689,0.0019689,0.0019689
18,3633.87,1.20884,1.9571,1.37509,1.48132,0,0.57255,0.40959,0.47267,0.31781,0.55501,0.35512,0.40649,0.27559,1.13265,1.87942,1.34902,1.46232,0,0.00196491,0.00196491,0.00196491
19,3834.39,1.16642,1.97692,1.32047,1.45881,0,0.56804,0.45889,0.50064,0.34463,0.53105,0.41554,0.43568,0.30132,1.14031,1.75633,1.12062,1.45307,0,0.00196069,0.00196069,0.00196069
20,4031.48,1.15298,1.88305,1.27877,1.4406,0,0.56743,0.43896,0.49035,0.33042,0.53059,0.40197,0.429,0.28861,1.09951,1.83446,1.12405,1.43344,0,0.00195624,0.00195624,0.00195624
21,4229.49,1.1241,1.88021,1.26941,1.4245,0,0.53493,0.45385,0.48656,0.33571,0.50905,0.38594,0.41647,0.28843,1.10051,1.76656,1.15408,1.4209,0,0.00195155,0.00195155,0.00195155
